order_id,customer_id,order_date,product_name,category,quantity,unit_price,total_amount,status
ORD-0000001,CUST-005605,2026-06-12,Webcam,Electronics,4,79.46,317.84,Processing
ORD-0000002,CUST-005338,2026-07-23,Water Bottle,Lifestyle,2,18.16,36.32,Processing
ORD-0000003,CUST-000938,2022-06-14,Water Bottle,Lifestyle,2,17.49,34.98,Returned
ORD-0000004,CUST-003570,2026-02-26,Wireless Mouse,Electronics,5,31.76,158.8,Returned
ORD-0000005,CUST-007770,2025-01-13,Wireless Mouse,Electronics,1,27.7,27.7,Returned
ORD-0000006,CUST-005043,2025-07-09,Laptop Stand,Office,5,47.53,237.65,Completed
ORD-0000007,CUST-000039,2025-11-11,Notebook Set,Stationery,2,13.02,26.04,Cancelled
ORD-0000008,CUST-004522,2024-11-12,Wireless Mouse,Electronics,1,28.57,28.57,Completed
ORD-0000009,CUST-008495,2026-08-03,Water Bottle,Lifestyle,1,18.81,18.81,Completed
ORD-0000010,CUST-007910,2022-12-06,Notebook Set,Stationery,1,12.41,12.41,Cancelled
ORD-0000011,CUST-002431,2025-10-02,Ergonomic Chair,Furniture,6,271.53,1629.18,Completed
ORD-0000012,CUST-007847,2023-10-22,Mechanical Keyboard,Electronics,2,90.97,181.94,Cancelled
ORD-0000013,CUST-004113,2024-01-06,Water Bottle,Lifestyle,4,20.72,82.88,Cancelled
ORD-0000014,CUST-004748,2024-02-07,Mechanical Keyboard,Electronics,5,91.14,455.7,Cancelled
ORD-0000015,CUST-004511,2025-03-11,Noise-Canceling Headphones,Electronics,4,184.6,738.4,Cancelled
ORD-0000016,CUST-003130,2026-06-24,Mechanical Keyboard,Electronics,2,88.64,177.28,Returned
ORD-0000017,CUST-001425,2026-02-16,Ergonomic Chair,Furniture,5,256.51,1282.55,Returned
ORD-0000018,CUST-005557,2025-04-09,Water Bottle,Lifestyle,4,17.6,70.4,Completed
ORD-0000019,CUST-003596,2023-08-09,Backpack,Lifestyle,5,64.95,324.75,Cancelled
ORD-0000020,CUST-009063,2026-06-11,Notebook Set,Stationery,1,13.1,13.1,Processing
ORD-0000021,CUST-006896,2026-04-05,Water Bottle,Lifestyle,6,18.6,111.6,Processing
ORD-0000022,CUST-001384,2024-10-01,Noise-Canceling Headphones,Electronics,3,167.46,502.38,Shipped
ORD-0000023,CUST-001194,2026-05-14,Ergonomic Chair,Furniture,5,269.42,1347.1,Completed
ORD-0000024,CUST-006857,2023-05-29,Notebook Set,Stationery,2,11.54,23.08,Completed
ORD-0000025,CUST-008985,2023-02-05,USB-C Hub,Electronics,2,44.92,89.84,Cancelled
ORD-0000026,CUST-004307,2025-10-23,Water Bottle,Lifestyle,5,19.04,95.2,Processing
ORD-0000027,CUST-009387,2022-10-01,Webcam,Electronics,3,69.61,208.83,Completed
ORD-0000028,CUST-001793,2026-06-03,Webcam,Electronics,5,74.12,370.6,Completed
ORD-0000029,CUST-003588,2023-03-23,Notebook Set,Stationery,1,11.84,11.84,Completed
ORD-0000030,CUST-005536,2025-09-01,Notebook Set,Stationery,2,13.57,27.14,Cancelled
ORD-0000031,CUST-000343,2024-11-14,USB-C Hub,Electronics,4,51.22,204.88,Cancelled
ORD-0000032,CUST-002882,2025-10-19,USB-C Hub,Electronics,6,50.46,302.76,Completed
ORD-0000033,CUST-002615,2024-12-10,Water Bottle,Lifestyle,3,18.56,55.68,Cancelled
ORD-0000034,CUST-001645,2025-12-15,Mechanical Keyboard,Electronics,1,85.38,85.38,Shipped
ORD-0000035,CUST-008951,2024-01-11,Backpack,Lifestyle,1,56.76,56.76,Processing
ORD-0000036,CUST-000663,2023-07-07,USB-C Hub,Electronics,3,46.06,138.18,Processing
ORD-0000037,CUST-005690,2026-01-11,Laptop Stand,Office,4,41.58,166.32,Cancelled
ORD-0000038,CUST-008929,2021-06-18,Water Bottle,Lifestyle,2,18.14,36.28,Completed
ORD-0000039,CUST-008588,2026-07-09,Webcam,Electronics,1,75.06,75.06,Shipped
ORD-0000040,CUST-003120,2024-12-11,Webcam,Electronics,6,72.57,435.42,Processing
ORD-0000041,CUST-004972,2022-06-29,Backpack,Lifestyle,3,61.17,183.51,Returned
ORD-0000042,CUST-005884,2026-01-18,Webcam,Electronics,5,80.88,404.4,Shipped
ORD-0000043,CUST-009998,2026-06-13,Laptop Stand,Office,4,46.5,186,Shipped
ORD-0000044,CUST-009722,2025-05-30,Water Bottle,Lifestyle,5,17.53,87.65,Processing
ORD-0000045,CUST-003110,2025-10-29,Desk Organizer,Office,6,26.64,159.84,Completed
ORD-0000046,CUST-003809,2021-09-22,Ergonomic Chair,Furniture,2,246.04,492.08,Processing
ORD-0000047,CUST-003311,2024-10-21,Laptop Stand,Office,3,45.76,137.28,Processing
ORD-0000048,CUST-003597,2023-09-07,Water Bottle,Lifestyle,5,19.9,99.5,Cancelled
ORD-0000049,CUST-004311,2024-12-24,USB-C Hub,Electronics,1,52.14,52.14,Cancelled
